"Drug","INN","Disease","Applicant","Parent_Company","Technology","Therapeutic_Area","Severity_Tier","Country","Decision_Type","Evaluation_Raw","Decision_Status_Raw","Access_Outcome","Restriction_Level","Reason_Category","Decision_Year","Decision_Date_Raw","Comparator_Category","Comparator_Raw","Evidence_Type","Reason_Text","ICER_Raw","Main_Uncertainty","Conditions","Notes","Comments","Data_Source","Row_Ref","Is_Positive","Is_Assessed","ICER_Min_SEK_per_QALY (Sweden only, curated)","ICER_Max_SEK_per_QALY (Sweden only, curated)","ICER_Basis_Note (Sweden only)","Technology_Group","Drug_Any_Positive (helper)","Drug_First_Positive_Year (helper)","hta_decision_date","ema_ma_date","time_to_decision_years","time_flag"
"Libmeldy","Atidarsagene autotemcel","Metachromatic leukodystrophy","Orchard Therapeutics (Kyowa Kirin)","Kyowa Kirin","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Denmark","Other / unclassified process","Assessment initiated but not completed by Medicinrådet","Outside Medicinrådet jurisdiction","Not Evaluated","Not Applicable","Administrative/Procedural",2022,"2022-06-01 00:00:00","Not applicable / Not assessed","N/A","Not specified / unclear","Not specified","N/A","Danish patients referred through cross-border arrangements","Not evaluated because treatment delivered abroad","Medicinrådet concluded that treatment falls outside its mandate because Danish patients are treated abroad","Access ultimately achieved through Nordic collaboration rather than standard Medicinrådet recommendation","Primary xlsx database",7,FALSE,FALSE,,,,"Gene therapy",1,,2022-06-01,2020-12-16,1.45653661875428,"ok"
"Libmeldy","Atidarsagene autotemcel","Metachromatic leukodystrophy","Orchard Therapeutics (Kyowa Kirin)","Kyowa Kirin","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Norway","Joint Nordic HTA (FINOSE/JNHB)","Rapid HTA (Cost-Utility Assessment) + FINOSE Collaboration","Recommended","Positive","Broad","N/A",2023,"2023-06-19 00:00:00","Best supportive care / no active treatment","BSC","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","Based on FINOSE cost-effectiveness assessment; exact negotiated price confidential","Long-term durability, small evidence base, no control group","Same population as EMA indication; treatment centralized to Nordic centre in Sweden","Norwegian adaptation of FINOSE assessment plus national price negotiations","Explicitly linked to Nordic collaboration and newborn screening discussion","Primary xlsx database",7,TRUE,TRUE,,,,"Gene therapy",1,,2023-06-19,2020-12-16,2.50513347022587,"ok"
"Skysona","Elivaldogene autotemcel","Cerebral adrenoleukodystrophy","Bluebird Bio","bluebird bio","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Sweden","Early / horizon scanning only","Early Assessment Report (Horizon Scanning)","Withdrawn before HTA completion","Withdrawn","Not Applicable","Administrative/Procedural",2021,"Early Assessment 04/05/2021; European withdrawal November 2021","Procedural / transplant-based comparator","Allogeneic Hematopoietic Stem Cell Transplantation (HSCT)","Not specified / unclear","Administrative/procedural + Clinical evidence uncertainty","N/A","Limited clinical evidence, immature long-term data, uncertainty regarding durability, safety, implementation and expected pricing","Intended for boys <18 years with early cerebral adrenoleukodystrophy (cALD) and ABCD1 mutation","Early assessment only. No TLV economic assessment, reimbursement review or NT-rådet recommendation completed.","Important failed market access case. Despite EMA approval in July 2021, Bluebird Bio withdrew Skysona from Europe in November 2021 following broader reimbursement and pricing challenges. No Nordic reimbursement process was completed and the therapy never entered routine clinical practice.","Primary xlsx database",8,FALSE,TRUE,,,"none public - withdrawn before HTA completion","Gene therapy",0,,2004-05-20,2021-07-26,-17.1827515400411,"negative (HTA before MA — check dates)"
"Skysona","Elivaldogene autotemcel","Cerebral adrenoleukodystrophy","Bluebird Bio","bluebird bio","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Denmark","No formal assessment / not assessed","Not assessed in Denmark","Not assessed in Denmark","Not Evaluated","Not Applicable","N/A",,"Not assessed in Denmark","Not applicable / Not assessed","Not assessed in Denmark","Not specified / unclear","Not specified","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Primary xlsx database",8,FALSE,FALSE,,,,"Gene therapy",0,,,2021-07-26,,"missing"
"Skysona","Elivaldogene autotemcel","Cerebral adrenoleukodystrophy","Bluebird Bio","bluebird bio","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Norway","No formal assessment / not assessed","Not assessed in Norway","Not assessed in Norway","Not Evaluated","Not Applicable","N/A",,"Not assessed in Norway","Not applicable / Not assessed","Not assessed in Norway","Not specified / unclear","Not specified","Not assessed in Norway","Not assessed in Norway","Not assessed in Norway","Not assessed in Norway","Not assessed in Norway","Primary xlsx database",8,FALSE,FALSE,,,,"Gene therapy",0,,,2021-07-26,,"missing"
"Hemgenix","Etranacogene dezaparvovec","Hemophilia B","CSL Behring","CSL Behring","Gene therapy (in vivo AAV)","Hematology",,"Sweden","Full / standard HTA","Health Economic Assessment with Scenario Analysis + NT-rådet recommendation","Not recommended","Negative","Not Applicable","Price/Cost-effectiveness",2023,"TLV assessment 18/09/2023; NT-rådet final recommendation 25/04/2025","Other / mixed comparator","Prophylactic FIX concentrates","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","TLV scenario: Hemgenix can be dominant if effect is sustained over model horizon, but uncertainty remains high; NT-rådet concluded it was not cost-effective after failed price reduction negotiation","High scientific uncertainty and very high health-economic uncertainty; durability of one-time gene therapy effect unknown; no direct comparative study versus FIX prophylaxis; effect advantage versus current well-functioning treatment unclear","Adults with severe or moderately severe hemophilia B without history of FIX inhibitors","NT-rådet recommended regions not to use Hemgenix. Negotiation did not produce sufficient cost reduction, and even an outcome-based agreement was judged insufficient","Clear negative access case. Current Swedish FIX prophylaxis is considered well-functioning, reducing disease severity and making the acceptable price for gene therapy harder to justify.","Primary xlsx database",9,FALSE,TRUE,,,"no ICER reported; TLV scenario-dependent (dominant-to-uncertain)","Gene therapy",1,,2023-07-01,2023-02-20,0.358658453114305,"ok"
"Hemgenix","Etranacogene dezaparvovec","Hemophilia B","CSL Behring","CSL Behring","Gene therapy (in vivo AAV)","Hematology",,"Denmark","Managed introduction / price negotiation","Medicinrådet recommendation + reassessment + Amgros alternative price agreement","2023: Not recommended. 2024: Recommended","Positive","Broad","N/A",2023,"Not recommended 22/11/2023; recommended 19/06/2024","Active comparator drug(s)","FIX prophylaxis, especially Refixia","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","No public ICER. 2023 analysis found Hemgenix could be dominant at AIP/SAIP but this was highly uncertain and dependent on long response duration. 2024 recommendation accepted costs as reasonable after alternative price agreement","Long-term durability, sparse long-term safety data, uncertainty about how many patients will need to restart FIX prophylaxis","Adults with severe or moderately severe hemophilia B without history of FIX inhibitors","Initial rejection due to price and uncertainty; later recommendation after new agreement where payment is linked to continued effect","Denmark is the positive contrast to Sweden: same core uncertainty, but access achieved through risk-sharing/payment-linked agreement.","Primary xlsx database",9,TRUE,TRUE,,,,"Gene therapy",1,,2023-07-01,2023-02-20,0.358658453114305,"ok"
"Hemgenix","Etranacogene dezaparvovec","Hemophilia B","CSL Behring","CSL Behring","Gene therapy (in vivo AAV)","Hematology",,"Norway","Managed introduction / price negotiation","Full Method Assessment (Metodevurdering) + Price Note","Recommended / Introduced","Positive","Broad","N/A",2026,"2026-03-16 00:00:00","Active comparator drug(s)","Standard FIX prophylaxis (factor IX replacement therapy)","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","Full cost-effectiveness analysis conducted; ICER not publicly available due to confidential pricing","Long-term durability of FIX expression; uncertainty regarding duration of treatment effect; extrapolation beyond trial follow-up","Price must be equal to or lower than negotiated price; treatment centralized at Oslo University Hospital","DMP performed full HTA assessing severity, benefit, resource use, uncertainty and budget impact. Final approval followed price negotiations by Sykehusinnkjøp.","Major contrast with Sweden. Norway ultimately approved gene therapy after centralized negotiations and national funding.","Primary xlsx database",9,TRUE,TRUE,,,,"Gene therapy",1,,2026-03-16,2023-02-20,3.06639288158795,"ok"
"Roctavian","Valoctocogene roxaparvovec","Hemophilia A","BioMarin International Limited","BioMarin","Gene therapy (in vivo AAV)","Hematology",,"Sweden","Full / standard HTA","Health Economic Assessment with Scenario Analysis + NT-rådet wait recommendation","Not recommended / wait; not marketed in Sweden","Negative","Not Applicable","Administrative/Procedural",2024,"TLV assessment 29/08/2024; NT-rådet wait recommendation 19/12/2024","Active comparator drug(s)","Prophylactic FVIII concentrates; Hemlibra considered in model","Not specified / unclear","Clinical evidence uncertainty","TLV base scenario: Roctavian dominant versus FVIII prophylaxis, meaning more effective and lower cost, but only under uncertain assumptions about duration of effect and long-term cost offsets","Very high uncertainty around durability of gene therapy effect, declining FVIII activity over time, representativeness of GENEr8-1 patients for Swedish well-controlled patients, HRQoL assumptions and lack of long-term data","Adults with severe hemophilia A without history of FVIII inhibitors and without detectable AAV5 antibodies","TLV completed the health economic assessment, but NT-rådet could not proceed to final recommendation/contracting because BioMarin stated Roctavian would not be marketed in Sweden","Important “non-launch after HTA” case. Unlike Skysona, Sweden completed the HTA, but market access stopped because the company did not commercialize the medicine in Sweden.","Primary xlsx database",10,FALSE,TRUE,,,"no ICER reported; TLV scenario-dependent (dominant under uncertain assumptions)","Gene therapy",0,,2024-07-01,2022-08-24,1.85352498288843,"ok"
"Roctavian","Valoctocogene roxaparvovec","Hemophilia A","BioMarin International Limited","BioMarin","Gene therapy (in vivo AAV)","Hematology",,"Denmark","No formal assessment / not assessed","Not assessed in Denmark","Not assessed in Denmark","Not Evaluated","Not Applicable","N/A",,"Not assessed in Denmark","Not applicable / Not assessed","Not assessed in Denmark","Not specified / unclear","Not specified","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Not assessed in Denmark","Primary xlsx database",10,FALSE,FALSE,,,,"Gene therapy",0,,,2022-08-24,,"missing"
"Roctavian","Valoctocogene roxaparvovec","Hemophilia A","BioMarin International Limited","BioMarin","Gene therapy (in vivo AAV)","Hematology",,"Norway","Rapid / simplified HTA","Rapid HTA (Hurtig metodevurdering) + Cost-Utility Assessment","Not launched / Withdrawn","Withdrawn","Not Applicable","Administrative/Procedural",2025,"2025-01-20 00:00:00","Active comparator drug(s)","Standard FVIII prophylaxis","Not specified / unclear","Administrative/procedural + Clinical evidence uncertainty","Evaluated but no reimbursement decision reached","Durability of gene expression; long-term effectiveness; uncertainty around duration of benefit",,"Full assessment completed by DMP but manufacturer decided not to launch in Norway and subsequently withdrew product from market.","Similar outcome to Sweden, but due to manufacturer withdrawal rather than formal reimbursement rejection.","Primary xlsx database",10,FALSE,TRUE,,,,"Gene therapy",0,,2025-01-20,2022-08-24,2.40930869267625,"ok"
"Hemlibra","emicizumab","Hemophilia A","Roche AB","Roche","Monoclonal antibody (bispecific)","Hematology",,"Sweden","Managed introduction / price negotiation","Reimbursement/Subvention Assessment with Cost-Minimisation Analysis + side agreement","Reimbursed / general subvention","Positive","Broad","N/A",2022,"2022-06-01 00:00:00","Best supportive care / no active treatment","TLV used no treatment as formal comparator due to confidential FVIII net prices; FVIII prophylaxis clinically relevant","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","No ICER reported; TLV used cost-minimisation and judged Hemlibra costs reasonable after side agreement","Uncertainty from indirect comparisons, differences between study populations, lack of public net prices for FVIII concentrates, long-term treatment assumptions","Hemophilia A with FVIII inhibitors and severe hemophilia A without inhibitors; all age groups within approved indication","Hemlibra had restricted reimbursement since 2018 and received broader/general reimbursement in 2022 after three-party negotiations and a side agreement","Essential market context for hemophilia A. Subcutaneous prophylaxis changed the treatment landscape and is relevant when assessing Roctavian’s incremental value.","Primary xlsx database",11,TRUE,TRUE,,,"none public - cost-minimisation approach, not cost-utility","Monoclonal antibody",1,,2022-06-01,2018-02-23,4.26830937713895,"ok"
